Country,New Deaths,New Recovered,New Confirmed,Total Confirmed,Total Deaths,Total Recovered,Date
United States of America,3865,0,253145,21299340,361123,0,2021-01-08T05:47:02Z
India,222,19587,20346,10395278,150336,10016859,2021-01-08T05:47:02Z
Brazil,1242,38441,63430,7873830,198974,7033286,2021-01-08T05:47:02Z
Russian Federation,431,22752,23902,3274615,59137,2657994,2021-01-08T05:47:02Z
United Kingdom,1042,65,62556,2845265,77470,6448,2021-01-08T05:47:02Z
France,282,1254,25232,2763116,66699,204679,2021-01-08T05:47:02Z
Turkey,191,8702,13830,2283931,22070,2164040,2021-01-08T05:47:02Z
Italy,548,20227,20326,2201945,76877,1556356,2021-01-08T05:47:02Z
Spain,0,0,0,1982544,51430,150376,2021-01-08T05:47:02Z
Germany,1078,23871,26663,1841228,37835,1496182,2021-01-08T05:47:02Z
Colombia,295,10568,16805,1719771,44723,1569578,2021-01-08T05:47:02Z
Argentina,191,7432,13441,1676171,43976,1474048,2021-01-08T05:47:02Z
Mexico,1165,6831,13345,1479835,129987,1119968,2021-01-08T05:47:02Z
Poland,553,8852,14220,1344763,30055,1087744,2021-01-08T05:47:02Z
"Iran, Islamic Republic of",82,11493,6283,1261903,55830,1040521,2021-01-08T05:47:02Z
South Africa,844,8360,21832,1149591,31368,929239,2021-01-08T05:47:02Z
Ukraine,242,14793,7226,1124482,20171,789627,2021-01-08T05:47:02Z
Peru,95,1863,2543,1022018,37925,962566,2021-01-08T05:47:02Z
Netherlands,173,0,7099,841163,11999,0,2021-01-08T05:47:02Z
Indonesia,187,6767,8854,788402,23296,652513,2021-01-08T05:47:02Z
Czech Republic,179,12293,17332,776967,12436,638183,2021-01-08T05:47:02Z
Belgium,56,0,2997,655732,19883,0,2021-01-08T05:47:02Z
Romania,121,4908,5719,654007,16299,586764,2021-01-08T05:47:02Z
Canada,150,7444,8082,631440,16402,537024,2021-01-08T05:47:02Z
Chile,28,2090,2382,625483,16816,591081,2021-01-08T05:47:02Z
Iraq,9,1889,839,599965,12865,549346,2021-01-08T05:47:02Z
Bangladesh,17,1021,978,518898,7687,463480,2021-01-08T05:47:02Z
Pakistan,50,2122,2481,495075,10511,450515,2021-01-08T05:47:02Z
Philippines,26,325,1044,480737,9347,448700,2021-01-08T05:47:02Z
Switzerland,91,0,4808,470789,8109,317600,2021-01-08T05:47:02Z
Sweden,0,0,0,469748,8985,0,2021-01-08T05:47:02Z
Israel,33,4656,7309,463448,3529,398368,2021-01-08T05:47:02Z
Morocco,37,2036,1642,447081,7618,418744,2021-01-08T05:47:02Z
Portugal,91,3115,10027,446606,7377,352225,2021-01-08T05:47:02Z
Austria,68,1935,2469,372190,6525,344974,2021-01-08T05:47:02Z
Saudi Arabia,7,144,118,363377,6272,354899,2021-01-08T05:47:02Z
Serbia,39,0,2882,352120,3444,0,2021-01-08T05:47:02Z
Hungary,118,2965,2047,331768,10198,179541,2021-01-08T05:47:02Z
Jordan,15,1707,1553,302856,3955,282727,2021-01-08T05:47:02Z
Panama,45,2533,5186,264956,4283,208620,2021-01-08T05:47:02Z
Nepal,6,495,409,263193,1899,256161,2021-01-08T05:47:02Z
Japan,61,3618,5950,259521,3609,206883,2021-01-08T05:47:02Z
Georgia,20,489,1800,233879,2666,223276,2021-01-08T05:47:02Z
Azerbaijan,26,2383,799,222200,2818,201596,2021-01-08T05:47:02Z
United Arab Emirates,4,2199,2067,218766,689,195520,2021-01-08T05:47:02Z
Ecuador,43,0,1294,217377,14146,190350,2021-01-08T05:47:02Z
Croatia,44,775,1896,216286,4223,205078,2021-01-08T05:47:02Z
Bulgaria,59,2023,1002,206392,7961,128789,2021-01-08T05:47:02Z
Kazakhstan,6,987,869,205933,2781,180364,2021-01-08T05:47:02Z
Belarus,9,1820,1854,204958,1480,186394,2021-01-08T05:47:02Z
Lebanon,21,970,4166,199925,1550,136566,2021-01-08T05:47:02Z
Slovakia,54,2908,4959,196047,2657,135760,2021-01-08T05:47:02Z
Dominican Republic,0,601,529,176378,2419,134932,2021-01-08T05:47:02Z
Denmark,31,2809,2230,175663,1451,145459,2021-01-08T05:47:02Z
Costa Rica,19,1304,1447,175038,2267,134911,2021-01-08T05:47:02Z
Bolivia,46,683,1713,166981,9287,135186,2021-01-08T05:47:02Z
Armenia,12,817,309,160853,2890,146576,2021-01-08T05:47:02Z
Kuwait,0,231,411,152438,938,148015,2021-01-08T05:47:02Z
Lithuania,40,2207,2718,152215,2036,83837,2021-01-08T05:47:02Z
Tunisia,70,1275,2820,149881,5004,111599,2021-01-08T05:47:02Z
Moldova,18,1160,950,147871,3088,135911,2021-01-08T05:47:02Z
Egypt,57,561,1007,145590,7975,115975,2021-01-08T05:47:02Z
Qatar,0,126,209,145061,245,142182,2021-01-08T05:47:02Z
Palestinian Territory,14,1585,1088,144257,1519,126110,2021-01-08T05:47:02Z
Greece,48,0,814,142267,5099,93764,2021-01-08T05:47:02Z
Guatemala,40,597,783,140202,4899,128952,2021-01-08T05:47:02Z
Slovenia,31,2115,3354,131724,2899,107103,2021-01-08T05:47:02Z
Oman,2,50,114,129888,1504,122456,2021-01-08T05:47:02Z
Myanmar,19,596,594,128178,2785,111401,2021-01-08T05:47:02Z
